1,"417234569","Sam","Richardson","4985 Acorn Dr","Shreveport","LA","71105","318-589-4869","318-821-7782",1/3/1939 0:00:00
2,"417234570","James","Parker","4986 Acorn Dr","Baton Rouge","LA","70803","225-670-5886","225-790-7399",5/13/1959 0:00:00
3,"417234571","Robert","Alley","4992 Acorn Dr","New Orleans","LA","70116","504-956-9479","504-844-8067",1/1/1935 0:00:00
4,"417234572","Keith","Atteberry","4995 Acorn Dr","Lafayette","LA","70508","337-376-2197","337-468-3359",11/27/1989 0:00:00
5,"417234573","Michael","Thomas","4996 Acorn Dr","Monroe","LA","71207","318-940-9274","318-331-1636",3/6/1945 0:00:00
6,"417234574","M","West Jr","5002 Acorn Dr","Alexandria","LA","71301","318-973-9690","318-747-6861",4/9/1951 0:00:00
7,"417234575","Waldo","Boals","5007 Acorn Dr","Lake Charles","LA","70616","337-664-5816","337-639-5496",10/24/1982 0:00:00
8,"417234576","Linda","McKinley","5008 Acorn Dr","Shreveport","LA","71105","318-278-0967","318-616-5214",9/20/1975 0:00:00
9,"417234577","Carla","Manley","5011 Acorn Dr","Baton Rouge","LA","70803","225-958-9499","225-217-0211",5/12/1958 0:00:00
10,"417234578","Guy","Mills","5022 Acorn Dr","New Orleans","LA","70116","504-973-9695","504-333-1663",8/20/1973 0:00:00
11,"417234579","Dominic","Aiello","498 Adrian Dr","Lafayette","LA","70508","337-784-7325","337-793-7430",3/7/1949 0:00:00
12,"417234580","Clay","Grant","501 Adrian Dr","Monroe","LA","71207","318-559-4499","318-891-8658",8/18/1971 0:00:00
13,"417234581","Raymond","Lutterman","509 Adrian Dr","Alexandria","LA","71301","318-754-6942","318-483-3547",5/11/1956 0:00:00
14,"417234582","Michael","Ashcraft","514 Adrian Dr","Lake Charles","LA","70616","337-649-5631","337-399-2496",6/13/1961 0:00:00
15,"417234583","Everett","Wilburn","515 Adrian Dr","Shreveport","LA","71105","318-982-9805","318-740-6769",9/20/1975 0:00:00
16,"417234584","Miles","Parker","522 Adrian Dr","Baton Rouge","LA","70803","225-483-3548","225-897-8742",7/15/1965 0:00:00
17,"417234585","P","Odaniel","527 Adrian Dr","New Orleans","LA","70116","504-974-9698","504-571-4649",9/23/1979 0:00:00
18,"417234586","Greg","Taylor","566 Adrian Dr","Lafayette","LA","70508","337-935-9213","337-760-7021",9/21/1976 0:00:00
19,"417234587","Venita","Pretti","567 Adrian Dr","Monroe","LA","71207","318-362-2024","318-716-6466",5/13/1959 0:00:00
20,"417234588","Ben","Nichols","571 Adrian Dr","Alexandria","LA","71301","318-384-2304","318-246-0577",7/16/1966 0:00:00
21,"417234589","Bonnie","Poindexter","574 Adrian Dr","Lake Charles","LA","70616","337-688-6117","337-617-5219",7/17/1969 0:00:00
22,"417234590","Louis","Russell","579 Adrian Dr","Shreveport","LA","71105","318-494-3682","318-984-9829",3/7/1948 0:00:00
23,"417234591","Timothy","Brungardt","580 Adrian Dr","Baton Rouge","LA","70803","225-458-3227","225-681-6032",5/13/1959 0:00:00
24,"417234592","Ray","Mohler","587 Adrian Dr","New Orleans","LA","70116","504-833-7939","504-247-0578",11/26/1986 0:00:00
25,"417234593","Ronald","Rivers","411 Allison Cove","Lafayette","LA","70508","337-971-9662","337-962-9557",4/10/1954 0:00:00
26,"417234594","Sally","Damron","412 Allison Cove","Monroe","LA","71207","318-286-1069","318-466-3330",10/23/1980 0:00:00
27,"417234595","Jack","Marks","415 Allison Cove","Alexandria","LA","71301","318-786-7350","318-378-2231",3/7/1947 0:00:00
28,"417234596","P","Pearce","416 Allison Cove","Lake Charles","LA","70616","337-904-8827","337-603-5047",9/22/1979 0:00:00
29,"417234597","Donald","Liming","421 Allison Cove","Shreveport","LA","71105","318-748-6865","318-215-0179",10/24/1982 0:00:00
30,"417234598","P","Ruth","422 Allison Cove","Baton Rouge","LA","70803","225-377-2218","225-788-7367",11/27/1989 0:00:00
31,"417234599","Jeff","Underwood","427 Allison Cove","New Orleans","LA","70116","504-816-7723","504-736-6711",4/8/1950 0:00:00
32,"417234600","Randolp","Brown","3854 Allison Av","Lafayette","LA","70508","337-595-4953","337-458-3225",5/12/1957 0:00:00
33,"417234601","Henry","Barcroft","3869 Allison Av","Monroe","LA","71207","318-319-1487","318-814-7694",7/17/1967 0:00:00
34,"417234602","Myrtle","Bedford","3874 Allison Av","Alexandria","LA","71301","318-606-5087","318-914-8953",5/11/1956 0:00:00
35,"417234603","Anna","Hilger","3875 Allison Av","Lake Charles","LA","70616","337-280-0999","337-912-8920",4/9/1952 0:00:00
36,"417234604","P","Donati","3880 Allison Av","Shreveport","LA","71105","318-463-3291","318-257-0711",4/10/1954 0:00:00
37,"417234605","Fred","Gilliam","3882 Allison Av","Baton Rouge","LA","70803","225-721-6529","225-714-6440",4/10/1954 0:00:00
38,"417234606","Kerry","Kernan","3883 Allison Av","New Orleans","LA","70116","504-859-8259","504-234-0423",8/18/1970 0:00:00
39,"417234607","Shawn","Kelly","3893 Allison Av","Lafayette","LA","70508","337-442-3033","337-612-5157",3/6/1945 0:00:00
40,"417234608","W","Williams","3894 Allison Av","Monroe","LA","71207","318-463-3294","318-709-6378",4/10/1954 0:00:00
41,"417234609","Herbert","Wilson","3896 Allison Av","Alexandria","LA","71301","318-587-4847","318-918-8997",11/26/1986 0:00:00
42,"417234610","Louis","Bargiacchi","3902 Allison Av","Lake Charles","LA","70616","337-720-6517","337-800-7514",11/26/1987 0:00:00
43,"417234611","Paul","Moore","3908 Allison Av","Shreveport","LA","71105","318-460-3258","318-280-0996",4/9/1952 0:00:00
44,"417234612","Farris","McMillian","3920 Allison Av","Baton Rouge","LA","70803","225-646-5592","225-516-3962",8/18/1971 0:00:00
45,"417234613","James","Calder","3922 Allison Av","New Orleans","LA","70116","504-907-8861","504-766-7099",10/25/1984 0:00:00
46,"417234614","Frank","Wilson","3925 Allison Av","Lafayette","LA","70508","337-691-6156","337-709-6384",5/13/1959 0:00:00
47,"417234615","H","Dixon","3928 Allison Av","Monroe","LA","71207","318-417-2712","318-289-1113",5/12/1959 0:00:00
48,"417234616","Sandra","Labarreare","3930 Allison Av","Alexandria","LA","71301","318-674-5935","318-943-9313",6/14/1961 0:00:00
49,"417234617","Judy","Cohen","3940 Allison Av","Lake Charles","LA","70616","337-888-8628","337-928-9127",6/14/1962 0:00:00
50,"417234618","Mark","Carson","3942 Allison Av","Shreveport","LA","71105","318-403-2540","318-878-8493",9/20/1975 0:00:00
51,"417234619","Mary","Cleaves","3946 Allison Av","Baton Rouge","LA","70803","225-460-3251","225-470-3387",8/18/1970 0:00:00
52,"417234620","H","Handley","3948 Allison Av","New Orleans","LA","70116","504-531-4148","504-540-4260",6/15/1964 0:00:00
53,"417234621","D","Vest","3949 Allison Av","Lafayette","LA","70508","337-611-5149","337-532-4161",5/13/1959 0:00:00
54,"417234622","Brian","Carey","3959 Allison Av","Monroe","LA","71207","318-666-5845","318-971-9662",3/6/1946 0:00:00
55,"417234623","James","Etheridge","3971 Allison Av","Alexandria","LA","71301","318-354-1931","318-244-0547",2/4/1941 0:00:00
56,"417234624","Joey","Copeland","4007 Allison Av","Lake Charles","LA","70616","337-295-1187","337-834-7950",10/23/1981 0:00:00
57,"417234625","S","Elliott","4021 Allison Av","Shreveport","LA","71105","318-413-2660","318-309-1368",11/27/1989 0:00:00
58,"417234626","Danny","Umfress","4029 Allison Av","Baton Rouge","LA","70803","225-323-1541","225-798-7490",1/2/1938 0:00:00
59,"417234627","Janey","Milan","4030 Allison Av","New Orleans","LA","70116","504-402-2532","504-503-3799",7/18/1969 0:00:00
60,"417234628","Walter","Milam Jr","4040 Allison Av","Lafayette","LA","70508","337-855-8206","337-862-8304",4/10/1954 0:00:00
61,"417234629","Susan","Shearin","4041 Allison Av","Monroe","LA","71207","318-387-2340","318-570-4630",1/3/1939 0:00:00
